elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.214,0.0,0.0,0.027,-0.0065,-0.0111,-0.067,-0.0065,-0.0111,-0.094,0.0228,189.9
6.385,0.0,0.0,0.038,-0.0095,-0.0172,-0.005,-0.0095,-0.0172,-0.043,0.0218,171.1
9.586,0.6635,0.1044,10.882,0.6566,0.0973,10.802,-0.007,-0.0062,-0.08,0.0354,200.8
12.79,1.4224,0.3317,38.046,1.4184,0.3352,37.861,-0.0051,0.008,-0.185,0.0386,203.5
15.991,2.0203,0.9695,47.351,2.0143,0.9773,47.238,-0.0079,0.0117,-0.113,0.0275,201.3
19.188,2.5613,1.5344,25.889,2.5443,1.5403,25.44,-0.029,0.026,-0.45,0.0351,196.5
22.399,3.4378,1.7169,7.256,3.41,1.7063,6.775,-0.0421,0.0183,-0.482,0.0382,210.3
25.588,4.2032,1.9699,38.348,4.1672,1.9558,37.871,-0.0523,0.0209,-0.477,0.041,189.2
28.786,4.8373,2.5418,40.567,4.787,2.5059,40.218,-0.0657,-0.0064,-0.349,0.0417,197.7
32.255,5.5057,2.9309,4.103,5.461,2.8768,3.124,-0.094,0.0405,-0.979,0.0539,469.2
35.365,6.445,2.9437,0.352,6.3751,2.8646,-0.271,-0.1015,-0.0089,-0.623,0.049,109.2
38.537,6.7856,2.3489,-91.802,6.7053,2.26,-92.322,-0.1013,-0.0273,-0.52,0.0639,172.3
41.726,6.7316,1.4911,-93.312,6.6473,1.4051,-93.733,-0.0951,-0.0366,-0.42,0.0845,188.4
44.931,6.6791,0.6143,-92.796,6.6089,0.5715,-93.004,-0.0724,-0.0185,-0.208,0.0405,205.2
48.137,6.6284,-0.2426,-92.845,6.5684,-0.2705,-93.186,-0.0585,0.0116,-0.341,0.0349,205.2
51.345,6.5839,-1.1261,-92.79,6.5317,-1.1483,-93.612,-0.0353,0.0722,-0.822,0.0388,207.9
54.535,6.55,-1.9843,-91.335,6.5027,-2.0043,-92.374,-0.0102,0.0985,-1.039,0.0325,190.2
57.742,6.3443,-2.7139,-164.438,6.2868,-2.7046,-165.893,0.0135,0.1696,-1.455,0.0328,206.9
60.96,5.4895,-2.6492,173.963,5.4384,-2.6155,172.88,-0.0,0.137,-1.083,0.0446,218.0
64.157,4.6774,-2.4887,152.594,4.6154,-2.4564,151.434,-0.0107,0.1265,-1.16,0.0609,196.6
67.339,3.9371,-2.0209,149.079,3.8941,-2.0029,147.663,0.0082,0.1147,-1.416,0.0539,181.9
70.541,3.1656,-1.553,151.886,3.1284,-1.5435,150.603,-0.0016,0.0801,-1.283,0.0345,201.3
73.753,2.5851,-1.0345,117.29,2.5617,-1.038,116.46,-0.0082,0.0339,-0.83,0.0325,212.6
76.954,2.2296,-0.2661,117.603,2.2301,-0.2927,116.884,0.004,0.0014,-0.719,0.0462,200.7
80.155,1.6309,0.1657,176.704,1.6411,0.1057,176.117,0.0086,-0.0433,-0.587,0.0341,200.1
83.35,0.7422,0.1663,-179.132,0.7621,0.0919,-179.523,0.0188,-0.0694,-0.391,0.0351,194.9
