elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.033,0.0,0.0,0.0,-0.0122,-0.0145,-0.1,-0.0122,-0.0145,-0.1,0.0314,26.3
6.181,0.0,0.0,-0.005,-0.0171,-0.0193,-0.257,-0.0171,-0.0193,-0.252,0.0292,147.8
9.321,0.0,0.0,-0.005,-0.0183,-0.0188,-0.308,-0.0183,-0.0188,-0.303,0.0278,139.5
12.483,0.7263,0.1013,7.987,0.7139,0.093,7.748,-0.0128,-0.0053,-0.239,0.0298,162.2
15.644,1.5778,0.2237,7.383,1.556,0.2169,6.924,-0.0235,0.0058,-0.459,0.0405,160.0
18.775,2.0935,0.6958,63.995,2.0794,0.7047,63.611,-0.0187,0.0229,-0.384,0.0281,131.5
21.924,2.4594,1.4511,63.397,2.4425,1.4826,63.371,-0.0176,0.0326,-0.026,0.0171,148.9
25.108,3.1091,1.7444,0.714,3.0852,1.7801,0.757,-0.0227,0.0333,0.043,0.0181,183.4
28.228,3.9737,1.7526,1.104,3.9532,1.7967,1.13,-0.0197,0.0423,0.026,0.0135,119.8
31.376,4.5984,1.3251,-45.566,4.5849,1.3791,-45.607,-0.0144,0.0573,-0.042,0.0143,148.0
34.521,5.1297,0.722,-50.021,5.1347,0.7841,-50.085,0.0042,0.0678,-0.064,0.0167,144.9
37.681,5.6601,0.0595,-49.587,5.7128,0.1291,-50.017,0.0524,0.1121,-0.43,0.0331,159.6
40.827,6.1682,-0.5771,-47.851,6.2584,-0.5137,-48.708,0.0995,0.1557,-0.857,0.046,146.2
43.978,6.228,-1.3879,-90.423,6.321,-1.3468,-91.521,0.1207,0.1602,-1.098,0.0412,150.3
47.117,6.2213,-2.2342,-89.56,6.3024,-2.2067,-90.361,0.113,0.1142,-0.801,0.036,138.3
50.271,5.6421,-2.5455,179.901,5.7223,-2.5215,179.095,0.1165,0.1031,-0.806,0.0324,153.9
53.422,4.7821,-2.5394,-179.522,4.852,-2.5346,-179.891,0.0864,0.0356,-0.369,0.0421,150.6
56.566,4.0421,-2.33,141.828,4.0955,-2.33,141.305,0.0748,0.0368,-0.522,0.0458,143.8
59.704,3.3673,-1.7984,143.58,3.4066,-1.7867,142.696,0.0675,0.0634,-0.884,0.0292,138.5
62.842,2.6831,-1.2823,145.344,2.7118,-1.2831,144.692,0.0434,0.0297,-0.652,0.0357,137.1
66.001,2.2336,-0.6561,111.407,2.2515,-0.6723,110.814,0.0248,0.0069,-0.593,0.0303,159.6
69.142,1.9324,0.1462,111.912,1.9571,0.1271,111.599,0.0239,-0.0085,-0.313,0.0311,139.8
72.27,1.5106,0.7324,-177.088,1.5302,0.7109,-177.375,0.0159,-0.0139,-0.287,0.0428,128.6
75.428,0.8078,0.2972,-147.777,0.8165,0.2705,-147.655,0.0093,-0.0285,0.122,0.0267,157.4
78.59,0.5112,0.1233,-151.227,0.5087,0.0822,-151.08,-0.0021,-0.0424,0.147,0.0237,162.0
81.709,0.5112,0.1233,-151.21,0.5028,0.0797,-151.024,-0.008,-0.0452,0.186,0.0256,118.6
84.841,0.5112,0.1233,-151.194,0.5026,0.0766,-151.077,-0.0084,-0.0477,0.116,0.0239,131.9
