elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,delta_x,delta_y,delta_h_deg
0.343,2.393799,-0.00824,4.1638,2.393799,-0.00824,4.1638,0.0,-0.0,-0.0
0.444,0.0,0.0,0.0,2.393799,-0.00824,4.1638,2.393799,-0.00824,4.1638
0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.86,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
0.952,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
0.956,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.055,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.06,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.156,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.161,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.266,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.271,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.356,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.363,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.458,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.463,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.565,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.569,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.664,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.669,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.776,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.781,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.868,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.875,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.967,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
1.971,0.0,0.0,0.0,-0.009202,-0.011417,-0.0239,-0.009202,-0.011417,-0.0239
